Birds_spp,Sample,Year,longitude,latitude
Skylark,22_6_C,2022.0,-2.427476557240803,52.78756305631377
Chaffinch,22_6_C,2022.0,-2.4262162767758957,52.7887466842337
Blackbird,22_7_A,2022.0,-2.4254833928513206,52.78243325548899
Blackbird,22_7_B,2022.0,-2.4256518537175142,52.782289191560224
Blackbird,22_7_C,2022.0,-2.424987756742392,52.78386594788592
Blackbird,22_7_C,2022.0,-2.425666434716511,52.7837825879592
Blackbird,22_7_B,2022.0,-2.427014049703071,52.784480326027555
Blackbird,22_7_C,2022.0,-2.4266028055713167,52.78461423011569
Blackbird,22_7_B,2022.0,-2.427944755459882,52.78534876239713
Great tit,22_7_A,2022.0,-2.4252324395199,52.782827749288685
Great tit,22_7_B,2022.0,-2.42762365889866,52.783540125959284
Wren,22_7_B,2022.0,-2.425340045335107,52.78243101089401
Wren,22_7_B,2022.0,-2.4246054879562653,52.783899273707284
Wren,22_7_A,2022.0,-2.4258381761631966,52.78393508663567
Wren,22_7_A,2022.0,-2.427332734865892,52.78360784648014
Wren,22_7_B,2022.0,-2.4271457989747987,52.78387865575629
Wren,22_7_C,2022.0,-2.427407215572662,52.783469636374626
Wren,22_7_C,2022.0,-2.4258724528944136,52.78453271076903
Wren,22_7_C,2022.0,-2.427338988385784,52.784245804219765
Wren,22_7_A,2022.0,-2.427912539642839,52.784732279436575
Wren,22_7_B,2022.0,-2.427799181980154,52.78477292140239
Wren,22_7_B,2022.0,-2.4274101328895887,52.784734091234675
Blue tit,22_7_B,2022.0,-2.425051691547961,52.78299530673269
Blue tit,22_7_C,2022.0,-2.4263172124032617,52.78251371557924
Blue tit,22_7_A,2022.0,-2.4251003194551752,52.783121578975
Blue tit,22_7_B,2022.0,-2.4246492449816732,52.783525524995426
Blue tit,22_7_A,2022.0,-2.425430738741242,52.78395379171246
Blue tit,22_7_C,2022.0,-2.42496664980165,52.78399568869506
Blue tit,22_7_C,2022.0,-2.4271710265211435,52.78355095338385
Blue tit,22_7_C,2022.0,-2.42724933779338,52.783803564360895
Blue tit,22_7_A,2022.0,-2.4272857335382487,52.78364824883273
Blue tit,22_7_B,2022.0,-2.4274833301422336,52.78349809987509
Blue tit,22_7_B,2022.0,-2.4267468291725054,52.78379387859396
Blue tit,22_7_B,2022.0,-2.427231618580677,52.783930074739985
Blue tit,22_7_A,2022.0,-2.426982435214616,52.784620680553
Blue tit,22_7_A,2022.0,-2.427647342736697,52.784756226341926
Robin,22_7_B,2022.0,-2.4245379022648734,52.78377306914902
Robin,22_7_C,2022.0,-2.424556188943225,52.78370403284624
Robin,22_7_A,2022.0,-2.4262244071749426,52.783686553582776
Robin,22_7_A,2022.0,-2.427770349057756,52.78473279242543
Jackdaw,22_7_A,2022.0,-2.427457135266022,52.78469368883803
Jackdaw,22_7_A,2022.0,-2.427101331007136,52.78417768955262
Jackdaw,22_7_C,2022.0,-2.427296155071995,52.78471151169268
Dunnock,22_7_A,2022.0,-2.424710878946069,52.78401384769634
Chiffchaff,22_7_C,2022.0,-2.4273984126184307,52.783538638946915
Chiffchaff,22_7_B,2022.0,-2.4273713838269875,52.78368242561615
Chiffchaff,22_7_A,2022.0,-2.4272943676963945,52.78356200416744
Chiffchaff,22_7_C,2022.0,-2.426510187297459,52.78382921534875
Chiffchaff,22_7_C,2022.0,-2.4270742445476734,52.78431572877466
Chiffchaff,22_7_A,2022.0,-2.4270559053036407,52.78437901808378
Eurasian jay,22_7_A,2022.0,-2.427138403330509,52.78409134248249
Skylark,22_7_A,2022.0,-2.425956306782494,52.78438297280548
Skylark,22_7_A,2022.0,-2.424903880434901,52.784363758051555
Skylark,22_7_B,2022.0,-2.427101367805706,52.785149028628034
Woodpigeon,22_7_A,2022.0,-2.424924631707692,52.78454760590712
Chaffinch,22_7_B,2022.0,-2.4268985281186146,52.784764671862725
Chaffinch,22_7_B,2022.0,-2.4272214635068416,52.78386114048411
Chaffinch,22_7_C,2022.0,-2.4252667932059926,52.78269566187251
Goldfinch,22_7_C,2022.0,-2.424467910707841,52.78339972765776
Blackcap,22_7_C,2022.0,-2.4243630253533004,52.783336879765216
Blackcap,22_7_B,2022.0,-2.4243153502920487,52.78330831251024
Greenfinch,22_7_B,2022.0,-2.431933286242236,52.78263002828645
Jackdaw,22_7_C,2022.0,-2.4321102423415226,52.78394809039444
Jackdaw,22_7_B,2022.0,-2.4321886714553607,52.78247600964011
Skylark,22_7_B,2022.0,-2.428912590297936,52.78490508501644
Skylark,22_7_C,2022.0,-2.4324873285421065,52.78445163806082
Skylark,22_7_B,2022.0,-2.432320204424112,52.78457310647979
Eurasian jay,22_7_A,2022.0,-2.4327829880851386,52.784337757663295
Song thrush,22_7_C,2022.0,-2.430766571508887,52.78469424761356
Song thrush,22_7_A,2022.0,-2.430257542237055,52.784733696112845
Song thrush,22_7_A,2022.0,-2.4330483607457234,52.783850666914006
Song thrush,22_7_A,2022.0,-2.430965982880978,52.782013137585146
Chiffchaff,22_7_A,2022.0,-2.4327715962336254,52.78408265233902
Chiffchaff,22_7_C,2022.0,-2.432018249463953,52.784499005689646
Chiffchaff,22_7_C,2022.0,-2.431450849140194,52.78222086359653
Chiffchaff,22_7_B,2022.0,-2.4317290304683707,52.78257974268311
Chiffchaff,22_7_A,2022.0,-2.432065634658599,52.782575831008465
Chiffchaff,22_7_C,2022.0,-2.4319205835218702,52.782689161216645
Dunnock,22_7_A,2022.0,-2.431931822823122,52.78248231695504
Wren,22_7_B,2022.0,-2.430633339576973,52.78465981665837
Wren,22_7_A,2022.0,-2.430411410564008,52.78461496447999
Wren,22_7_A,2022.0,-2.43284321493563,52.78415759214942
Wren,22_7_A,2022.0,-2.4328556531372314,52.78362576687089
Wren,22_7_A,2022.0,-2.4316390718645984,52.78288893225004
Wren,22_7_A,2022.0,-2.4319877424807146,52.78276143204103
